Folder_Name,fCHL,fCDOM,fBBP,TS_corr,aw_spec,a_NAP_model,S_NAP,a_NAP_443,a_NAP_CORR,a_CDOM_model,S_CDOM,CDOM_TS_corr,aw_380_spec,depth_type,Kw_type,a_CDOM_CORR,a_PFT_use,bp_bbp_model,bb_ratio,bbp_slope,Q_depth,Comment
REF,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,FALSE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,TRUE,TRUE,Case1_CHL,0.002,0,SURF,REF
NO_NAP,1,1,1,TRUE,MASON,None,0.0129,0.0087,FALSE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,TRUE,TRUE,Case1_CHL,0.002,0,SURF,NO_NAP
NO_CDOM,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,FALSE,None,0.017,TRUE,MASON,EUPH,MASON,FALSE,TRUE,Case1_CHL,0.002,0,SURF,NO_CDOM
NO_PFT,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,FALSE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,TRUE,FALSE,Case1_CHL,0.002,0,SURF,NO_PFT
NO_BBP,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,FALSE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,TRUE,TRUE,None,0.002,0,SURF,NO_BBP
