Folder_Name,fCHL,fCDOM,fBBP,TS_corr,aw_spec,a_NAP_model,S_NAP,a_NAP_443,a_NAP_CORR,a_CDOM_model,S_CDOM,CDOM_TS_corr,aw_380_spec,depth_type,Kw_type,a_CDOM_CORR,a_PFT_use,bp_bbp_model,bb_ratio,bbp_slope,Q_depth,Comment
RANGE_01,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,TRUE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Babin_BBP, a_NAP_mean_0.0087"
RANGE_02,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.01,TRUE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Babin_BBP, a_NAP_mean_0.01"
RANGE_03,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.015,TRUE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Babin_BBP, a_NAP_mean_0.015"
RANGE_04,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.02,TRUE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Babin_BBP, a_NAP_mean_0.02"
RANGE_05,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.025,TRUE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Babin_BBP, a_NAP_mean_0.025"
RANGE_06,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.03,TRUE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Babin_BBP, a_NAP_mean_0.03"
RANGE_07,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.035,TRUE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Babin_BBP, a_NAP_mean_0.035"
RANGE_08,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.04,TRUE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Babin_BBP, a_NAP_mean_0.04"
