Folder_Name,fCHL,fCDOM,fBBP,TS_corr,aw_spec,a_NAP_model,S_NAP,a_NAP_443,a_NAP_CORR,a_CDOM_model,S_CDOM,CDOM_TS_corr,aw_380_spec,depth_type,Kw_type,a_CDOM_CORR,a_PFT_use,bp_bbp_model,bb_ratio,bbp_slope,Q_depth,Comment
REF,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,TRUE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,FALSE,TRUE,from_BBP700,0.015,2,SURF,Reference
NO_NAP,1,1,1,TRUE,MASON,None,0.0129,0.0087,TRUE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,FALSE,TRUE,from_BBP700,0.015,2,SURF,Remove aNAP
NO_CDOM,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,TRUE,None,0.017,TRUE,MASON,EUPH,MASON,FALSE,TRUE,from_BBP700,0.015,2,SURF,Remove aCDOM
NO_PFT,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,TRUE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,FALSE,FALSE,from_BBP700,0.015,2,SURF,Remove aPFT
NO_BBP,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.0087,TRUE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,FALSE,TRUE,None,0.015,2,SURF,Remove bbp
