yyyy0107-00:00:00 0.0501498 
yyyy0120-00:00:00 0.0523377 
yyyy0202-00:00:00 0.0530515 
yyyy0215-00:00:00 0.0591303 
yyyy0228-00:00:00 0.0634698 
yyyy0312-00:00:00 0.0861662 
yyyy0325-00:00:00 0.0940632 
yyyy0407-00:00:00 0.103524 
yyyy0420-00:00:00 0.138155 
yyyy0503-00:00:00 0.0991189 
yyyy0516-00:00:00 0.0581494 
yyyy0529-00:00:00 0.0542557 
yyyy0611-00:00:00 0.0426909 
yyyy0624-00:00:00 0.040363 
yyyy0707-00:00:00 0.0387374 
yyyy0720-00:00:00 0.0414086 
yyyy0802-00:00:00 0.040701 
yyyy0815-00:00:00 0.0408484 
yyyy0828-00:00:00 0.0402062 
yyyy0910-00:00:00 0.0418814 
yyyy0923-00:00:00 0.0448798 
yyyy1006-00:00:00 0.046897 
yyyy1019-00:00:00 0.0529047 
yyyy1101-00:00:00 0.0541034 
yyyy1114-00:00:00 0.0584921 
yyyy1127-00:00:00 0.0621295 
yyyy1210-00:00:00 0.0595391 
yyyy1223-00:00:00 0.0544086 
