Phytoplankton chl-specific absorption and c-specific scatter
Computed in 11Cluster_aph_literature2.R
# aPH compiled from literature (Literature_spectra6.xls) (m2 mgChla-1)
# bPH from Dutkiewicz et al 2015 (m2 mgC-1)
# non-spectral bb ratio (-) (from Dut15 & Gregg17), it multiplies bPH in light_spectral.F90
Format I4,2F10.4, 1F10.5, 1F10.4
Diatoms
 700    0.0034    0.0034   0.00379    0.0062
 725    0.0009    0.0009   0.00379    0.0062
 775    0.0000    0.0000   0.00379    0.0062
Chlorophyceae
 250    0.0000    0.0000   0.00656    0.0054
 325    0.0036    0.0035   0.00656    0.0054
 350    0.0101    0.0099   0.00656    0.0054
 375    0.0149    0.0145   0.00656    0.0054
 400    0.0211    0.0203   0.00656    0.0054
 425    0.0269    0.0255   0.00642    0.0054
 450    0.0250    0.0227   0.00645    0.0054
 475    0.0224    0.0202   0.00681    0.0054
 500    0.0163    0.0147   0.00762    0.0054
 525    0.0076    0.0075   0.00811    0.0054
 550    0.0056    0.0056   0.00840    0.0054
 575    0.0064    0.0064   0.00840    0.0054
 600    0.0074    0.0074   0.00821    0.0054
 625    0.0087    0.0087   0.00803    0.0054
 650    0.0116    0.0116   0.00775    0.0054
 675    0.0158    0.0157   0.00731    0.0054
 700    0.0044    0.0044   0.00795    0.0054
 725    0.0015    0.0015   0.00795    0.0054
 775    0.0011    0.0011   0.00795    0.0054
EuPrasinophyceae
 250    0.0000    0.0000   0.00656    0.0062
 325    0.0046    0.0039   0.00656    0.0062
 350    0.0129    0.0110   0.00656    0.0062
 375    0.0190    0.0161   0.00656    0.0062
 400    0.0288    0.0237   0.00656    0.0062
 425    0.0409    0.0317   0.00642    0.0062
 450    0.0397    0.0256   0.00645    0.0062
 475    0.0363    0.0220   0.00681    0.0062
 500    0.0221    0.0126   0.00762    0.0062
 525    0.0089    0.0080   0.00811    0.0062
 550    0.0045    0.0045   0.00840    0.0062
 575    0.0047    0.0047   0.00840    0.0062
 600    0.0058    0.0058   0.00821    0.0062
 625    0.0074    0.0074   0.00803    0.0062
 650    0.0130    0.0130   0.00775    0.0062
 675    0.0172    0.0170   0.00731    0.0062
 700    0.0027    0.0027   0.00795    0.0062
 725    0.0000    0.0000   0.00795    0.0062
 775    0.0000    0.0000   0.00795    0.0062
Synecococcus
 250    0.0000    0.0000   0.00544    0.0062
 325    0.0080    0.0062   0.00544    0.0062
 350    0.0226    0.0176   0.00544    0.0062
 375    0.0332    0.0259   0.00544    0.0062
 400    0.0442    0.0336   0.00544    0.0062
 425    0.0573    0.0389   0.00507    0.0062
 450    0.0509    0.0218   0.00505    0.0062
 475    0.0420    0.0132   0.00507    0.0062
 500    0.0371    0.0196   0.00518    0.0062
 525    0.0269    0.0250   0.00505    0.0062
 550    0.0269    0.0268   0.00481    0.0062
 575    0.0152    0.0152   0.00460    0.0062
 600    0.0083    0.0083   0.00429    0.0062
 625    0.0100    0.0100   0.00397    0.0062
 650    0.0115    0.0115   0.00367    0.0062
 675    0.0210    0.0207   0.00346    0.0062
 700    0.0053    0.0053   0.00379    0.0062
 725    0.0012    0.0012   0.00379    0.0062
 775    0.0000    0.0000   0.00379    0.0062
