Species	Dinoflagellates	Dinoflagellates	Dinoflagellates	Cryptophyceae	Cryptophyceae	Cryptophyceae	Coccolithophores	Coccolithophores	Coccolithophores	Diatoms	Diatoms	Diatoms	Prochlorococcus	Prochlorococcus	Prochlorococcus	Synechococcus	Synechococcus	Synechococcus	Green Algae	Green Algae	Green Algae	Picoeukaryotes
Light Regime	10	100	300	10	100	300	10	100	300	10	100	300	10	25	100	10	100	300	10	100	300	50
352	0.010930233629217	0.01912348437568	0.018463389024679	0.021684456369814	0.037205830579157	0.029765976264375	0.020424691694536	0.01850776637155	0.020679141283803	0.009865696422152	0.015980470166805	0.021543125800727	0.016478944351601		0.031464254815502	0.015618882999979	0.024598202723052	0.022152395353612	0.010414793319129	0.007517807130822	0.009281731509172	0.033649525972692
353	0.010823586617219	0.019014125736454	0.018757946743738	0.022221743433601	0.03823402900615	0.03037343013684	0.020512269923836	0.018661526371504	0.020659506374277	0.010048817950682	0.016131234745699	0.02173600440059	0.016805955948024		0.03155401308952	0.015164500739788	0.024862304991911	0.022793391209303	0.010480361806576	0.007675073909174	0.009515693260875	0.032967485000489
354	0.010821275312546	0.018880651519258	0.019017396841861	0.022821245648147	0.039046845206983	0.031221340775996	0.020673304921074	0.018809610884294	0.020451921823176	0.010215892168763	0.016292074365544	0.02213312571703	0.017206999003777		0.03187451028309	0.01474808033558	0.025502560922828	0.023477182601771	0.010538148519234	0.007787463610517	0.009657400838646	0.032228713552547
355	0.010779544354345	0.01876787959818	0.019243262727252	0.023431529525916	0.039860102280099	0.032020716490668	0.020729637770026	0.01888802953044	0.020367316137424	0.010340269328238	0.016481317303933	0.022374333991191	0.017397605583242		0.032289049718465	0.014463862163192	0.026185598030425	0.02431006329359	0.010598522307484	0.007891474476077	0.009827360982945	0.031547590437185
356	0.01071776261503	0.018679170428044	0.019492971281442	0.024212284386874	0.040885734360131	0.032936460000011	0.020787999111363	0.018973880150362	0.020342401189613	0.010527145596806	0.0166585112124	0.022656440210355	0.017671745320588		0.032714592078644	0.014077306019604	0.026865424566942	0.025211227558119	0.010688353314332	0.008019611898643	0.009994530248552	0.030793801919934
357	0.010682827485503	0.018554329180292	0.019638879279031	0.024729383258781	0.041410983276574	0.033587073071912	0.020874805023402	0.01904124437285	0.020346133421107	0.010510803788252	0.016787865426252	0.022842492143449	0.017755287403628		0.033071998865603	0.013995842281126	0.027564790023113	0.025865126106229	0.010723703928165	0.008042587891119	0.010063087349877	0.030320322320345
358	0.010712829174946	0.018447176445629	0.019692254121962	0.025115602937983	0.041605099406364	0.033984391042471	0.020893666645236	0.019040667690681	0.020371498548217	0.010447321916381	0.016855807585003	0.022978648280792	0.017750598570181		0.033493049480548	0.014050931765838	0.028307816640383	0.026390085383421	0.010727250427727	0.008015622862985	0.010055177626865	0.030065241977105
359	0.010737717774707	0.018409444942007	0.019738842051808	0.025502180336854	0.041728831707348	0.034412915640693	0.020888887067194	0.019018822999828	0.020477724096501	0.01041892652377	0.016926945110294	0.023083185849091	0.017676053112487	0.019953275384518	0.034047699133968	0.014295163297731	0.029110628753795	0.027080924690933	0.010716463205029	0.008011564465675	0.010099651877257	0.029947531026356
360	0.010781415858578	0.018383158340205	0.019742961236755	0.025886474226054	0.041842504903196	0.03481448645102	0.020886275356964	0.01897780277662	0.020607098310873	0.010331858383854	0.016980581552218	0.023138860234776	0.017577984965696	0.020180693797769	0.03461438128044	0.014579357619587	0.030029711752702	0.027778764868667	0.010742443076554	0.00798610698872	0.010057964198288	0.029889223779957
361	0.01082536552671	0.018399188358388	0.019762317896891	0.026219735143367	0.042008673464861	0.035132470923962	0.020925638968716	0.018926459765147	0.020779418501325	0.010275544375674	0.017003509036999	0.023194354884293	0.017485472955195	0.020431914111525	0.035186698680915	0.015036510885354	0.030970967895499	0.028588981508795	0.010740097540573	0.007971205351802	0.010013386090645	0.029935629210023
362	0.010909407664286	0.018414168153919	0.019800690888646	0.026390921047865	0.041969130570773	0.035314824841023	0.021010782631292	0.01888976337784	0.020988033678636	0.010185516733291	0.017012568556939	0.023286412239491	0.017444485671129	0.020725279592965	0.0357719030251	0.015583852948158	0.031928688365994	0.029439450845085	0.010740732976936	0.007963147404625	0.009982947998417	0.030059671543671
363	0.010999760165093	0.018495532434286	0.019856723309474	0.026541381331189	0.042008933780848	0.035608022412493	0.021141689168034	0.018896369646785	0.021172948309803	0.010135205020995	0.017048327545853	0.023349946468777	0.017389456596947	0.021039122816035	0.036488622119475	0.016215769354951	0.032989457026087	0.030424256449213	0.010722115434077	0.007974874584078	0.009967002747391	0.030276120063298
364	0.01110755221723	0.01858719778381	0.019964636506249	0.026730968777941	0.042089135554705	0.035852981964668	0.021262654447619	0.018941114102057	0.021349135718586	0.010158616957477	0.017102472256366	0.023475112764361	0.017428907911816	0.021527896157847	0.037301907527397	0.016800141589464	0.034133439675947	0.031580300694909	0.010701735545088	0.008030807358053	0.009988751610852	0.030450471973526
365	0.011185232548737	0.018757784803844	0.020136269416338	0.026950196242838	0.042336917535995	0.036380606526396	0.021454000186216	0.019048432950929	0.021514737185756	0.010245940394654	0.017210623348617	0.023656177411944	0.017518004096848	0.022185376169656	0.038254004698007	0.017474597214493	0.035367005779331	0.032993699563276	0.010719341450619	0.008139641170293	0.010061662959857	0.030552941575133
